shipment_id,shipment_date,origin_warehouse,destination_region,carrier,transport_mode,distance_km,weight_kg,shipment_volume_units,inventory_level,transportation_cost,delivery_time_days,delayed
SHP101173,2025-12-23 02:33:43.686405,WH-Delhi,West,Carrier B,Sea,1046.0,133.5,122,3119,4939.74,2.1,1
SHP101037,2025-11-11 19:39:22.969140,WH-Mumbai,East,Carrier D,Air,569.4,,121,3495,31351.56,1.0,0
SHP101066,2025-11-20 14:57:08.857381,WH-Mumbai,West,Carrier A,Sea,659.1,512.6,118,3158,2990.95,1.4,1
SHP100892,2025-09-28 19:10:33.527939,WH-Kolkata,North,Carrier C,Road,753.4,192.1,123,2234,9479.87,1.2,0
SHP100309,2025-04-04 19:23:46.188490,WH-Kolkata,East,Carrier D,Sea,693.2,289.6,104,689,3641.09,1.7,0
SHP100902,2025-10-01 20:02:12.110091,WH-Chennai,South,Carrier D,Sea,228.8,264.4,122,377,2009.92,0.3,0
SHP100348,2025-04-16 15:33:10.658882,WH-Delhi,East,Carrier D,Road,256.8,,116,2670,3335.97,0.5,0
SHP100962,2025-10-20 01:12:03.603002,WH-Mumbai,South,Carrier D,Road,534.7,174.3,121,2813,6354.01,1.1,0
SHP100877,2025-09-24 05:53:05.654712,WH-Delhi,East,Carrier B,Rail,631.4,149.9,138,4923,4832.4,4.506312639268212,0
SHP100012,2025-01-04 15:25:58.298582,WH-Delhi,West,Carrier B,Rail,1052.6,268.7,128,4514,7111.46,0.8,0
SHP101033,2025-11-10 14:30:43.536280,WH-Mumbai,North,Carrier C,Rail,622.0,134.1,118,769,4591.49,0.2,0
SHP101114,2025-12-05 04:41:02.051709,WH-Delhi,North,Carrier C,Road,780.7,115.1,133,147,9615.53,0.8,0
SHP100274,2025-03-25 04:23:01.150959,WH-Mumbai,South,Carrier A,Road,340.3,263.0,127,4944,53797.89731796595,1.4,0
SHP100723,2025-08-08 11:49:47.489574,WH-Mumbai,North,Carrier D,Road,392.9,197.5,125,4150,5120.35,0.9,0
SHP100424,2025-05-09 17:17:39.883236,WH-Bengaluru,North,Carrier D,Rail,830.7,132.3,110,4145,5607.46,1.2,0
SHP100649,2025-07-17 00:39:37.981651,WH-Bengaluru,East,Carrier C,Air,583.3,222.2,133,4403,33146.49,0.2,0
SHP101196,2025-12-30 02:08:30.425354,WH-Mumbai,Central,Carrier C,Road,510.6,145.6,154,4185,6672.0,0.2,0
SHP100757,2025-08-18 19:33:22.668890,WH-Chennai,South,Carrier C,Road,525.0,269.5,105,4137,7479.74,1.0,0
SHP100350,2025-04-17 06:07:30.375312,WH-Bengaluru,West,Carrier B,Rail,1270.0,169.0,96,2650,9244.33,1.6,0
SHP101085,2025-11-26 09:23:16.163469,WH-Mumbai,Central,Carrier D,Road,257.3,109.1,114,1637,3963.49,1.1,0
SHP100181,2025-02-24 22:46:44.336947,WH-Delhi,North,Carrier C,Sea,659.4,72.7,117,240,2603.05,0.8,0
SHP100107,2025-02-02 11:36:34.829024,WH-Bengaluru,North,Carrier B,Rail,1046.6,297.7,118,197,8092.99,1.6,1
SHP100997,2025-10-30 16:12:48.640533,WH-Chennai,South,Carrier C,Sea,1127.0,127.7,117,591,4661.8,2.4,1
SHP100194,2025-02-28 21:29:52.493744,WH-Bengaluru,East,Carrier D,Sea,261.6,198.4,107,517,1965.03,1.5,1
SHP100993,2025-10-29 11:04:09.207673,WH-Mumbai,South,Carrier C,Air,43.2,275.2,109,1772,3037.98,0.9,0
SHP100493,2025-05-30 16:02:00.100083,WH-Delhi,West,,Air,1093.7,120.2,119,4551,60631.13,0.8,0
SHP100839,2025-09-12 17:00:51.042535,WH-Bengaluru,East,Carrier C,Sea,696.9,399.5,128,2025,4222.84,1.0,0
SHP100599,2025-07-01 20:21:25.070892,WH-Bengaluru,North,Carrier B,Road,858.3,30.9,109,2256,10954.33,0.8,0
SHP100058,2025-01-18 14:35:31.776480,WH-Delhi,Central,Carrier A,Road,572.4,300.8,121,2297,7582.13,0.6,0
SHP100735,2025-08-12 03:15:45.788156,WH-Mumbai,West,Carrier C,Road,1648.9,391.2,100,3628,21338.61,1.6,0
SHP100088,2025-01-27 17:10:27.522935,WH-Chennai,West,Carrier B,Sea,560.5,206.5,112,578,2957.61,0.6,0
SHP100126,2025-02-08 06:02:42.135112,WH-Chennai,Central,Carrier D,Road,647.9,88.0,140,2382,68509.90547788246,0.3,0
SHP100632,2025-07-11 20:47:50.391993,WH-Delhi,West,Carrier A,Road,802.9,123.1,130,1276,9526.44,1.1,0
SHP100401,2025-05-02 17:42:53.144286,WH-Delhi,East,Carrier C,Rail,582.4,,117,3084,4881.59,1.6,1
SHP101079,2025-11-24 13:40:17.014178,WH-Kolkata,East,Carrier B,Rail,642.8,109.0,115,3933,4945.24,1.7,0
SHP100629,2025-07-10 22:56:20.817347,WH-Chennai,South,Carrier D,Road,469.1,199.0,119,3151,6007.51,1.5,0
SHP100560,2025-06-20 00:12:00.600500,WH-Kolkata,West,Carrier C,Rail,358.9,125.2,109,253,3419.47,0.8,0
SHP100904,2025-10-02 10:36:31.826522,WH-Chennai,West,Carrier A,Rail,797.7,183.8,119,4488,5591.29,0.8,0
SHP100027,2025-01-09 04:43:26.171809,WH-Mumbai,South,Carrier B,Road,396.8,143.5,134,2977,4665.16,0.7,0
SHP100314,2025-04-06 07:49:35.479566,WH-Kolkata,North,Carrier B,Road,329.6,368.8,111,1996,5472.41,1.7,0
SHP100446,2025-05-16 09:35:16.763969,WH-Kolkata,South,Carrier C,Road,686.5,241.2,140,2063,8626.11,,0
SHP100323,2025-04-09 01:24:04.203502,WH-Kolkata,North,Carrier D,Road,586.2,135.4,106,984,7500.93,0.8,0
SHP100808,2025-09-03 07:08:45.437864,WH-Kolkata,Central,Carrier D,Road,380.5,195.1,106,2531,,0.2,0
SHP100195,2025-03-01 04:47:02.351959,WH-Kolkata,Central,Carrier A,Road,827.5,35.2,111,3190,10194.33,0.7,0
SHP100663,2025-07-21 06:39:55.996663,WH-Chennai,North,Carrier D,Air,842.2,159.7,125,4988,47616.61,0.2,0
SHP100119,2025-02-06 03:02:33.127606,WH-Delhi,East,Carrier A,Road,199.0,101.6,100,2721,3401.71,0.2,0
SHP100390,2025-04-29 09:34:04.703919,WH-Delhi,East,Carrier D,Rail,959.2,82.8,122,1904,6710.2,2.0,0
SHP100286,2025-03-28 19:48:59.449541,WH-Mumbai,North,Carrier A,sea,1166.3,331.5,106,1653,5701.86,2.3,1
SHP100709,2025-08-04 05:49:29.474562,WH-Delhi,South,Carrier B,Air,287.4,263.6,142,1967,16209.69,0.8,0
SHP100430,2025-05-11 13:00:39.032527,WH-Mumbai,East,Carrier C,Road,173.9,170.3,115,2928,2057.47,0.5,0
SHP100641,2025-07-14 14:22:19.115929,WH-Kolkata,North,Carrier D,Sea,640.9,380.2,122,4878,3173.56,0.9,0
SHP100201,2025-03-03 00:30:01.501251,WH-Kolkata,West,Carrier B,Road,354.4,243.6,122,4507,5377.71,0.8,0
SHP100873,2025-09-23 00:44:26.221851,WH-Kolkata,South,Carrier C,Rail,339.8,332.2,102,2640,3697.72,0.6,0
SHP100789,2025-08-28 12:42:38.131776,WH-Delhi,South,Carrier C,Road,628.3,70.5,112,1687,8163.54,1.6,1
SHP100915,2025-10-05 18:45:20.266889,WH-Kolkata,South,Carrier B,Road,789.2,174.0,123,2538,10192.52,2.3,1
SHP100280,2025-03-27 00:06:00.300250,WH-Mumbai,North,Carrier C,Rail,443.4,120.7,116,3081,3381.52,0.4,0
SHP100133,2025-02-10 09:02:51.142618,WH-Bengaluru,West,Carrier D,Road,1532.5,131.0,117,1519,18020.62,1.6,1
SHP101069,2025-11-21 12:48:38.432026,WH-Delhi,North,Carrier C,Road,379.2,166.8,121,164,4646.56,0.5,0
SHP100090,2025-01-28 07:44:47.239366,WH-Mumbai,West,Carrier B,Rail,650.3,255.8,126,386,5409.68,0.2,0
SHP100453,2025-05-18 12:35:25.771476,WH-Chennai,South,Carrier D,Sea,227.2,387.4,121,1639,2065.84,1.8,1
SHP100341,2025-04-14 12:33:01.651376,WH-Bengaluru,South,Carrier D,Rail,501.3,141.1,119,2390,3924.1,0.8,0
SHP100142,2025-02-13 02:37:19.866555,WH-Bengaluru,Central,Carrier D,Rail,536.9,38.4,116,2630,3587.44,0.5,0
SHP100824,2025-09-08 03:43:23.169307,WH-Kolkata,West,Carrier D,Air,943.7,311.1,145,598,53101.47,0.4,0
SHP100080,2025-01-25 06:53:08.657214,WH-Kolkata,West,Carrier A,Road,257.3,299.6,119,4306,4204.77,0.2,0
SHP101041,2025-11-13 00:48:02.402001,WH-Bengaluru,West,Carrier A,Rail,112.1,78.8,115,574,764.94,0.5,0
SHP100258,2025-03-20 07:48:23.419516,WH-Kolkata,West,Carrier A,Rail,92.7,289.2,125,625,1417.16,1.1,0
SHP100830,2025-09-09 23:26:22.318598,WH-Bengaluru,South,Carrier C,Road,440.4,81.5,140,3513,5355.06,0.9,0
SHP100035,2025-01-11 15:00:45.037531,WH-Bengaluru,West,Carrier D,Sea,809.1,545.0,122,2525,4636.66,2.1,1
SHP100555,2025-06-18 11:46:11.309424,WH-Kolkata,East,Carrier D,Road,1227.8,98.7,119,455,14899.55,2.3,1
SHP100231,2025-03-12 03:04:57.247706,WH-Kolkata,West,Carrier B,Road,916.8,251.3,99,147,11747.64,2.2,1
SHP100736,2025-08-12 10:32:55.646371,WH-Kolkata,East,Carrier D,Road,504.5,442.4,111,781,7107.81,0.7,0
SHP100936,2025-10-12 03:45:47.289407,WH-Kolkata,West,Carrier A,Sea,1714.4,249.8,103,1400,8060.3,2.6,1
SHP100006,2025-01-02 19:42:59.149291,WH-Chennai,Central,,Road,354.8,,133,2413,4171.42,0.5,0
SHP100573,2025-06-23 22:55:08.757297,WH-Bengaluru,East,Carrier A,Sea,402.0,154.4,111,3851,2271.25,0.4,0
SHP100527,2025-06-09 23:45:35.279399,WH-Kolkata,West,Carrier B,Rail,360.4,283.0,94,4177,,0.6,0
SHP100047,2025-01-15 06:26:43.336113,WH-Mumbai,East,Carrier A,road,397.4,311.1,129,4087,5704.54,0.6,0
SHP101062,2025-11-19 09:48:29.424520,WH-Kolkata,North,Carrier D,Road,200.9,176.4,114,1852,2514.55,1.4,0
SHP101017,2025-11-05 17:56:05.804837,WH-Delhi,Central,Carrier C,Road,291.2,312.4,127,952,4652.21,0.3,0
SHP100705,2025-08-03 00:40:50.041701,WH-Delhi,West,Carrier D,Road,1135.4,257.0,117,2791,14500.15,0.8,0
SHP100363,2025-04-21 04:50:38.532110,WH-Bengaluru,East,Carrier B,Rail,496.6,130.1,119,3333,4218.67,1.3,0
SHP100094,2025-01-29 12:53:26.672226,WH-Chennai,South,Carrier A,Sea,571.4,148.4,124,1683,2926.54,1.4,1
SHP100538,2025-06-13 07:54:23.719766,WH-Chennai,West,Carrier B,Road,719.8,369.5,133,3358,9922.13,0.4,0
SHP101038,2025-11-12 02:56:32.827356,WH-Delhi,South,Carrier C,Road,216.2,162.6,103,4311,2872.87,0.2,0
SHP101104,2025-12-02 03:49:23.469557,WH-Chennai,South,Carrier B,Sea,650.0,229.1,93,256,3453.49,2.2,1
SHP100428,2025-05-10 22:26:19.316096,WH-Delhi,South,Carrier D,Road,296.7,208.3,131,1908,4947.2,0.4,0
SHP100960,2025-10-19 10:37:43.886572,WH-Delhi,East,Carrier C,Rail,307.1,170.1,120,536,3126.67,1.1,0
SHP100487,2025-05-28 20:19:00.950792,WH-Delhi,West,Carrier A,Air,316.0,401.1,108,3266,18641.6,0.2,0
SHP100148,2025-02-14 22:20:19.015846,WH-Mumbai,South,Carrier D,Road,312.4,131.2,123,3825,4434.85,0.5,0
SHP100581,2025-06-26 09:12:27.623019,WH-Delhi,West,Carrier B,Road,692.0,36.8,119,1921,8341.11,0.7,0
SHP100008,2025-01-03 10:17:18.865721,WH-Bengaluru,South,Carrier B,Rail,554.7,71.2,133,3530,4737.69,0.2,0
SHP100684,2025-07-27 15:40:23.019182,WH-Chennai,North,Carrier B,Road,548.9,399.1,126,1718,6787.53,0.5,0
SHP100120,2025-02-06 10:19:42.985821,WH-Bengaluru,North,Carrier B,Road,264.3,371.8,119,806,3672.58,0.2,0
SHP100827,2025-09-09 01:34:52.743953,WH-Chennai,West,Carrier B,Air,1722.8,136.3,139,2750,95296.63,1.0,0
SHP100547,2025-06-16 01:28:52.443703,WH-Mumbai,Central,Carrier D,Road,1041.7,259.8,112,1046,12374.02,1.8,1
SHP100725,2025-08-09 02:24:07.206005,WH-Kolkata,East,Carrier C,Road,522.9,516.9,118,1304,7301.07,1.2,0
SHP100019,2025-01-06 18:26:07.306088,WH-Delhi,Central,Carrier A,road,231.4,50.2,123,4507,3094.96,1.4,1
SHP100087,2025-01-27 09:53:17.664720,WH-Delhi,North,Carrier C,Road,536.3,450.6,125,1110,7960.27,1.4,0
SHP100311,2025-04-05 09:58:05.904920,WH-Kolkata,Central,Carrier C,Air,312.8,250.9,96,4881,18033.09,0.4,0
SHP100742,2025-08-14 06:15:54.795663,WH-Mumbai,North,Carrier B,Road,488.3,168.1,136,3700,5925.24,0.8,0
SHP100816,2025-09-05 17:26:04.303586,WH-Delhi,North,Carrier A,Sea,432.5,159.7,135,3288,3500.74,1.1,0
SHP100471,2025-05-23 23:44:23.219349,WH-Mumbai,South,Carrier C,Road,360.6,94.1,124,4785,4150.9,0.8,0
SHP100186,2025-02-26 11:12:33.628023,WH-Bengaluru,North,Carrier C,air,486.2,238.1,122,782,26853.79,1.0,0
SHP101156,2025-12-17 22:41:56.096747,WH-Mumbai,South,Carrier C,Rail,561.4,76.8,120,1318,3846.77,,0
SHP100239,2025-03-14 13:22:16.113427,WH-Kolkata,West,Carrier B,Road,687.3,157.9,134,4933,7926.6,0.3,0
SHP100840,2025-09-13 00:18:00.900750,WH-Delhi,East,Carrier A,Rail,263.5,71.3,118,3535,1855.4,0.9,0
SHP100101,2025-01-31 15:53:35.679733,WH-Delhi,West,Carrier C,Sea,611.8,256.4,123,990,2794.49,2.4,1
SHP100571,2025-06-23 08:20:49.040867,WH-Bengaluru,West,Carrier D,Road,306.1,271.6,111,362,4832.5,0.3,0
SHP100521,2025-06-08 04:02:36.130108,WH-Kolkata,East,Carrier C,Air,695.8,239.0,126,2515,38426.9,0.5,0
SHP101194,2025-12-29 11:34:10.708924,WH-Chennai,West,Carrier A,Road,706.2,200.9,122,268,8707.09,1.0,0
SHP100198,2025-03-02 02:38:31.926605,WH-Chennai,South,Carrier A,Sea,332.6,160.3,135,2716,2163.44,1.1,0
SHP100602,2025-07-02 18:12:54.645537,WH-Delhi,North,Carrier A,Rail,698.4,361.2,125,2648,5910.92,0.5,0
SHP100888,2025-09-27 14:01:54.095079,WH-Kolkata,West,Carrier C,Road,500.0,141.4,107,2192,5672.87,0.8,0
SHP100978,2025-10-24 21:46:41.334445,WH-Delhi,South,Carrier B,Sea,1248.4,277.0,113,2847,5878.98,2.8,1
SHP100664,2025-07-21 13:57:05.854879,WH-Chennai,Central,Carrier C,Road,830.3,490.7,97,160,12068.5,1.2,0
SHP100382,2025-04-26 23:16:45.838198,WH-Delhi,South,Carrier C,Road,337.3,150.4,123,4312,4441.42,0.6,0
SHP100700,2025-08-01 12:15:00.750625,WH-Kolkata,South,Carrier A,Rail,334.1,146.3,126,1841,2884.9,0.9,0
SHP100204,2025-03-03 22:21:31.075896,WH-Kolkata,Central,Carrier D,Road,173.8,904.7,119,2938,3245.19,0.3,0
SHP100702,2025-08-02 02:49:20.467055,WH-Bengaluru,South,Carrier A,Road,280.4,176.2,129,721,3324.44,1.2,0
SHP100393,2025-04-30 07:25:34.278565,WH-Chennai,East,Carrier B,Rail,341.7,82.2,135,4922,3006.87,0.2,0
SHP100935,2025-10-11 20:28:37.431192,WH-Delhi,South,Carrier A,Road,920.4,409.2,123,4812,12148.17,2.4,0
SHP100582,2025-06-26 16:29:37.481234,WH-Chennai,North,Carrier C,Air,980.7,220.6,124,630,54180.5,0.6,0
SHP100512,2025-06-05 10:28:07.406171,WH-Bengaluru,East,Carrier D,Rail,645.1,226.4,129,1967,5119.57,0.2,0
SHP100041,2025-01-13 10:43:44.186822,WH-Mumbai,West,Carrier D,Air,999.2,71.8,110,469,55713.99,0.2,0
SHP100283,2025-03-27 21:57:29.874895,WH-Delhi,North,Carrier C,Road,171.6,97.8,136,1532,2656.51,0.8,0
SHP100650,2025-07-17 07:56:47.839866,WH-Delhi,South,Carrier A,Road,1127.7,98.1,118,3546,13567.21,1.8,1
SHP100639,2025-07-13 23:47:59.399499,WH-Kolkata,West,Carrier B,Rail,1291.0,243.4,129,2661,9693.83,0.7,0
SHP100620,2025-07-08 05:21:52.093411,WH-Chennai,East,Carrier B,Road,152.4,227.3,136,4979,2156.22,1.279504021036675,0
SHP100455,2025-05-19 03:09:45.487906,WH-Bengaluru,South,Carrier B,Road,468.5,133.0,142,30,5308.06,0.5,0
SHP100868,2025-09-21 12:18:36.930775,WH-Chennai,West,Carrier B,Road,522.6,181.2,123,4559,7386.41,1.5,0
SHP100154,2025-02-16 18:03:18.165137,WH-Kolkata,North,Carrier B,Air,300.6,80.9,127,3521,16322.33,1.0,0
SHP100559,2025-06-19 16:54:50.742285,WH-Chennai,South,Carrier D,Road,111.3,209.9,115,1946,1712.17,,0
SHP100776,2025-08-24 13:59:29.974979,WH-Kolkata,West,Carrier C,Road,434.9,752.8,131,4251,,0.9,0
SHP100111,2025-02-03 16:45:14.261884,WH-Delhi,North,Carrier A,Road,636.2,151.4,126,3692,8611.97,0.7,0
SHP100937,2025-10-12 11:02:57.147623,WH-Bengaluru,Central,Carrier D,Road,539.4,124.4,100,566,6855.12,1.8,1
SHP100880,2025-09-25 03:44:35.229357,WH-Delhi,West,Carrier B,Road,451.2,272.5,112,1965,6155.95,0.2,0
SHP101158,2025-12-18 13:16:15.813177,WH-Kolkata,South,Carrier B,Rail,604.2,184.8,97,2773,5381.01,0.4,0
SHP100903,2025-10-02 03:19:21.968306,WH-Bengaluru,East,Carrier A,Sea,620.1,29.0,110,2219,2705.91,1.5,1
SHP101101,2025-12-01 05:57:53.894912,WH-Mumbai,East,Carrier B,Road,1007.9,502.5,115,4042,13753.44,1.1,0
SHP100912,2025-10-04 20:53:50.692243,WH-Delhi,South,Carrier D,Road,1133.4,145.3,113,3942,13213.82,2.0,1
SHP100864,2025-09-20 07:09:57.497914,WH-Mumbai,West,Carrier C,Road,416.5,200.3,133,338,6236.3,1.9,1
